luas,kamar,lokasi,harga
60,3,1,750
80,4,1,950
70,3,2,800
90,4,2,1100
50,2,3,600
65,3,3,720
45,2,1,580
85,5,2,1050
75,3,3,820
95,4,1,1150
55,2,2,650
70,4,3,830
100,5,1,1250
65,3,2,780
80,4,3,960
90,5,1,1100
60,2,2,680
50,1,3,550
75,3,1,870
85,4,2,1000
55,2,3,620
95,5,1,1200
70,3,2,790
60,2,3,670
45,2,1,570
80,4,2,940
90,5,3,1080
65,3,1,800
75,4,2,900
50,2,3,610
85,5,1,1050
70,3,2,810
95,4,1,1160
55,2,3,630
60,3,2,760
80,4,1,970
90,5,2,1120
100,6,1,1300
45,1,3,540
75,3,2,850
85,4,1,990
65,3,3,740
50,2,2,620
70,3,1,820
95,5,2,1180
55,2,1,640
80,4,3,940
90,5,1,1110
60,3,2,730
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,630
60,3,1,750
80,4,2,970
90,5,1,1120
100,6,2,1310
45,1,3,530
75,3,1,860
85,4,2,1000
65,3,3,750
50,2,1,610
70,3,2,800
95,5,3,1170
55,2,1,640
80,4,2,940
90,5,1,1110
60,3,3,730
75,4,2,890
45,2,1,570
85,5,3,1010
70,3,1,800
95,4,2,1140
55,2,3,630
60,3,1,750
80,4,2,960
90,5,3,1090
100,6,1,1300
45,1,2,540
75,3,3,850
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
90,5,1,1120
100,6,3,1280
45,1,2,540
75,3,1,860
85,4,2,990
65,3,3,750
50,2,1,610
70,3,2,800
95,5,1,1190
55,2,2,640
80,4,3,950
90,5,1,1110
60,3,2,740
75,4,3,880
45,2,1,580
85,5,2,1020
70,3,3,790
95,4,1,1140
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,2,530
75,3,3,860
85,4,1,980
65,3,2,750
50,2,3,610
70,3,1,810
95,5,2,1180
55,2,1,650
80,4,3,940
90,5,2,1100
60,3,1,740
75,4,3,880
45,2,2,580
85,5,1,1020
70,3,3,790
95,4,1,1150
55,2,2,640
60,3,3,720
80,4,1,960
90,5,2,1100
100,6,1,1290
45,1,3,530
75,3,2,850
85,4,1,990
65,3,3,760
50,2,2,620
70,3,1,800
95,5,3,1180
55,2,1,640
80,4,2,950
90,5,1,1120
60,3,2,740
75,4,1,880
45,2,3,580
85,5,1,1020
70,3,2,790
95,4,1,1150
55,2,3,650
60,3,1,760
80,4,2,970
